Input Price,Sentiment,Output Price
6.354167,-0.00375,5.979167
5.979167,0.00140625,6.119792
6.119792,0.00130208,6.25
6.25,0.00145833,6.395833
6.395833,0.005625,6.958333
6.958333,-0.00032558,6.925775
6.925775,-0.00290358,6.635417
6.635417,-0.0009375,6.541667
6.541667,0.00015625,6.557292
6.557292,0.00026041,6.583333
6.583333,0.00072917,6.65625
6.65625,0.00453125,7.109375
7.109375,-0.00109375,7
7,0,7
7,-0.00015625,6.984375
6.984375,0.00036458,7.020833
7.020833,-0.00213541,6.807292
6.807292,0.00088541,6.895833
6.895833,0.001875,7.083333
7.083333,0.00072917,7.15625
7.15625,-0.0002865,7.1276
7.1276,0.00382817,7.510417
7.510417,0.00411458,7.921875
7.921875,-0.00171875,7.75
7.75,-0.00364583,7.385417
7.385417,-0.0021875,7.166667
7.166667,0.0021875,7.385417
7.385417,0.00552083,7.9375
7.9375,-0.00078125,7.859375
7.859375,0.00239583,8.098958
8.098958,-0.00088541,8.010417
8.010417,0.00197916,8.208333
8.208333,-0.00302083,7.90625
7.90625,-0.00052083,7.854167
7.854167,-0.00098959,7.755208
7.755208,-0.00484375,7.270833
7.270833,-0.00520833,6.75
6.75,0.00322917,7.072917
7.072917,-0.00177084,6.895833
6.895833,0.01072917,7.96875
7.96875,-0.00010417,7.958333
7.958333,-0.003125,7.645833
7.645833,0.00229167,7.875
7.875,0.000625,7.9375
7.9375,-0.00127608,7.809892
7.809892,-0.00278642,7.53125
7.53125,0.00052083,7.583333
7.583333,0.00114584,7.697917
7.697917,-0.00458334,7.239583
7.239583,0.00375,7.614583
7.614583,0.00125,7.739583
7.739583,-0.00109375,7.630208
7.630208,-0.00161458,7.46875
7.46875,-0.00130208,7.338542
7.338542,0.00192708,7.53125
7.53125,-0.00145833,7.385417
7.385417,0.00010416,7.395833
7.395833,-0.00229166,7.166667
7.166667,-0.0034375,6.822917
6.822917,0.00395833,7.21875
7.21875,-0.00057292,7.161458
7.161458,0.00182292,7.34375
7.34375,-0.00208333,7.135417
7.135417,0.00145833,7.28125
7.28125,-0.00239583,7.041667
7.041667,0.00270833,7.3125
7.3125,0.000625,7.375
7.375,0.00333333,7.708333
7.708333,0.00833334,8.541667
8.541667,0.00479166,9.020833
9.020833,0.01395834,10.416667
10.416667,-0.0025,10.166667
10.166667,0.00791666,10.958333
10.958333,0.013125,12.270833
12.270833,0.00895834,13.166667
13.166667,-0.01145834,12.020833
12.020833,0.00614584,12.635417
12.635417,0.00927083,13.5625
13.5625,0.01885417,15.447917
15.447917,0.01187499,16.635416
16.635416,-0.00125,16.510416
16.510416,-0.00802083,15.708333
15.708333,0.00750001,16.458334
16.458334,0.00166666,16.625
16.625,0.02395834,19.020834
19.020834,0.01645832,20.666666
20.666666,0.02583334,23.25
23.25,-0.02895834,20.354166
20.354166,-0.025,17.854166
17.854166,-0.00270832,17.583334
17.583334,-0.01,16.583334
16.583334,0.01354166,17.9375
17.9375,0.01229166,19.166666
