0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,mean
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,-0.175,0.0,-0.16499999999999998,-0.041666666666666664,0.25,-0.028571428571428564,0.13333333333333333,-0.09166666666666667,0.044444444444444446,0.0,0.0,0.0,-0.20000000000000004,0.0,0.0,-0.09375,0.2857142857142857,0.0,0.0,0.0,0.15,0.2,0.01738015873015873
-0.5,-0.0034090909090909102,-0.07777777777777779,0.0,0.14444444444444443,0.14545454545454548,-0.45,0.0,0.13636363636363635,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.024999999999999994,-0.1,0.0,0.0,-0.5,0.0,-0.03505411255411255
0.3499999999999999,0.0,-0.11999999999999997,0.06666666666666665,0.0,0.0,-0.05,0.0,0.0,0.175,0.0,-0.05,0.016666666666666666,0.0,-0.2,0.0,-0.25,0.25,-0.1,0.0,0.0,0.06000000000000001,-0.24000000000000005,0.0,0.0,-0.0036666666666666714
0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.15555555555555559,-0.03125,0.0,0.0,0.0,0.0,0.0,-0.09333333333333334,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0208550505050505
0.09999999999999999,0.07727272727272727,0.0,0.0,0.0,0.3666666666666667,0.05,0.0,0.0,-0.0625,-0.18333333333333335,-0.03333333333333333,0.0,0.0,0.39999999999999997,-0.0625,0.0,0.5,0.0,-0.0625,0.0,-0.03101851851851853,-0.16666666666666666,0.2,0.0,0.043683501683501685
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,-0.175,-0.041666666666666664,0.20000000000000004,0.25,0.45,0.0,0.23333333333333336,0.0,0.0,0.10000000000000002,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,0.13333333333333333,0.0,0.044000000000000004
0.0,-0.04999999999999999,0.3181818181818182,0.0,-0.11666666666666665,0.04464285714285714,0.0,-1.0,0.0,0.0,0.1,0.05000000000000002,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,-0.01575367965367965
