Date,Open,High,Low,Close,Adj Close,Volume

2018-03-20,1410.000000,1436.599976,1409.500000,1432.430054,1417.752319,4024984
2018-03-21,1436.250000,1442.150024,1425.000000,1428.380005,1413.743774,3907678
2018-03-22,1429.969971,1437.969971,1411.280029,1415.680054,1401.173950,2326094
2018-03-23,1401.000000,1417.050049,1399.030029,1409.069946,1394.631592,3654122
2018-03-26,1409.500000,1413.699951,1390.780029,1408.500000,1394.067505,2964210
2018-03-27,1412.500000,1431.500000,1411.530029,1423.849976,1409.260132,2494574
2018-03-28,1417.949951,1437.500000,1412.500000,1424.569946,1409.972778,6865654
2018-04-02,1420.000000,1457.000000,1420.000000,1454.819946,1439.912720,1662988
2018-04-03,1446.050049,1464.949951,1446.050049,1455.619995,1440.704590,1937290
2018-04-04,1464.719971,1467.000000,1446.000000,1455.449951,1440.536377,2841820
2018-04-05,1463.280029,1481.880005,1460.180054,1478.969971,1463.815430,1809424
2018-04-06,1477.000000,1480.000000,1463.280029,1475.150024,1460.034546,1129018
2018-04-09,1469.849976,1481.750000,1457.500000,1461.949951,1446.969727,1235866
2018-04-10,1462.849976,1478.619995,1462.849976,1468.800049,1453.749634,1184532
2018-04-11,1475.300049,1512.500000,1472.800049,1507.069946,1491.627441,3124416
2018-04-12,1505.000000,1575.000000,1503.969971,1569.619995,1553.536499,6114360
2018-04-13,1575.000000,1620.400024,1566.050049,1576.650024,1560.494507,8179118
2018-04-16,1558.000000,1599.969971,1555.380005,1593.819946,1577.488403,6270274
2018-04-17,1593.819946,1597.469971,1573.599976,1583.300049,1567.076416,3301724
2018-04-18,1583.000000,1596.719971,1572.930054,1579.550049,1563.364868,2433066
2018-04-19,1589.949951,1608.599976,1582.880005,1595.569946,1579.220581,4820952
2018-04-20,1625.000000,1711.180054,1620.000000,1701.219971,1683.788086,18465662
2018-04-23,1712.000000,1778.949951,1694.780029,1704.319946,1686.856201,15185910
2018-04-24,1705.000000,1721.569946,1671.250000,1692.819946,1675.474121,8314336
2018-04-25,1692.500000,1741.500000,1682.530029,1735.119995,1717.340698,8196574
2018-04-26,1733.500000,1780.000000,1733.500000,1769.619995,1751.487183,12135034
2018-04-27,1762.500000,1772.000000,1710.000000,1725.969971,1708.284424,4501330
2018-04-30,1725.969971,1774.500000,1718.800049,1766.050049,1747.953857,3458558
2018-05-02,1765.250000,1766.099976,1735.650024,1749.880005,1731.949463,3158046
2018-05-03,1754.900024,1763.000000,1735.199951,1740.930054,1723.091187,3761550
2018-05-04,1746.000000,1748.500000,1735.000000,1740.380005,1722.546753,2347244
2018-05-07,1745.000000,1745.000000,1705.449951,1710.469971,1692.943237,3484426
2018-05-08,1717.349976,1743.250000,1698.349976,1720.599976,1702.969482,2992820
2018-05-09,1720.099976,1747.380005,1720.099976,1744.650024,1726.773071,2615050
2018-05-10,1751.469971,1755.569946,1720.099976,1725.619995,1707.937988,3858678
2018-05-11,1727.099976,1742.500000,1721.250000,1728.469971,1710.758911,2627876
2018-05-14,1728.500000,1735.500000,1705.400024,1716.780029,1699.188721,2433894
2018-05-15,1725.000000,1747.900024,1716.849976,1741.199951,1723.358398,1952890
2018-05-16,1739.969971,1754.500000,1737.619995,1746.949951,1729.049438,1648450
2018-05-17,1756.469971,1766.569946,1738.000000,1745.900024,1728.010254,2968048
2018-05-18,1740.400024,1758.849976,1729.000000,1751.030029,1733.087646,1874996
2018-05-21,1764.349976,1796.000000,1759.030029,1778.380005,1760.157349,3446178
2018-05-22,1779.000000,1787.469971,1746.849976,1754.449951,1736.472534,1857416
2018-05-23,1762.500000,1772.500000,1740.500000,1747.550049,1729.643433,1507298
2018-05-24,1755.000000,1807.500000,1751.180054,1801.849976,1783.386963,2962316
2018-05-25,1812.500000,1837.400024,1786.280029,1792.900024,1774.528687,3769772
2018-05-28,1808.250000,1808.250000,1743.000000,1751.030029,1733.087646,3716798
2018-05-29,1764.949951,1772.000000,1744.000000,1761.750000,1743.697876,3525312
2018-05-30,1754.530029,1766.500000,1741.250000,1757.050049,1739.046021,3779106
2018-05-31,1734.000000,1759.050049,1726.099976,1741.050049,1737.548950,5049371
2018-06-01,1754.000000,1757.500000,1716.300049,1732.449951,1728.966187,1603856
2018-06-04,1745.000000,1749.000000,1712.599976,1744.250000,1740.742554,1681483
2018-06-05,1744.000000,1751.900024,1711.150024,1721.599976,1718.138062,2449568
2018-06-06,1723.000000,1734.900024,1715.199951,1725.750000,1722.279663,2236512
2018-06-07,1725.000000,1749.000000,1723.800049,1735.550049,1732.060059,2414762
2018-06-08,1735.000000,1757.300049,1735.000000,1747.099976,1743.586792,2582138
2018-06-11,1747.099976,1763.000000,1743.000000,1749.699951,1746.181519,2179378
2018-06-12,1757.000000,1785.000000,1753.000000,1781.000000,1777.418579,4608875
2018-06-13,1816.000000,1831.650024,1798.000000,1824.099976,1820.431885,5370983
2018-06-14,1830.000000,1832.300049,1784.000000,1787.550049,1783.955444,3819998
2018-06-15,1800.000000,1847.099976,1788.599976,1840.050049,1836.349976,9183574
2018-06-18,1867.949951,1867.949951,1822.150024,1829.000000,1825.322144,4674987
2018-06-19,1822.150024,1839.000000,1821.000000,1824.500000,1820.831177,3245034
