Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,43.220001,43.419998,42.849998,42.860001,42.860001,8825200
2018-03-01,43.009998,43.110001,42.049999,42.270000,42.270000,8040500
2018-03-02,42.599998,43.060001,42.220001,42.950001,42.950001,8070200
2018-03-05,42.790001,43.549999,42.619999,43.189999,43.189999,5506100
2018-03-06,43.540001,43.540001,42.959999,43.139999,43.139999,5324800
2018-03-07,42.970001,44.020000,42.799999,43.930000,43.930000,8126500
2018-03-08,44.160000,44.299999,43.410000,43.680000,43.680000,9297800
2018-03-09,43.759998,43.849998,43.340000,43.810001,43.810001,7800600
2018-03-12,44.029999,44.040001,43.430000,43.900002,43.900002,9189400
2018-03-13,44.139999,44.220001,42.689999,42.820000,42.820000,9934900
2018-03-14,42.970001,43.139999,42.650002,42.830002,42.830002,11663300
2018-03-15,42.820000,42.830002,42.160000,42.590000,42.590000,7598600
2018-03-16,42.619999,42.740002,42.380001,42.459999,42.459999,14194900
2018-03-19,42.230000,42.759998,41.720001,42.090000,42.090000,9410000
2018-03-20,42.080002,42.189999,41.709999,41.959999,41.959999,8000800
2018-03-21,41.869999,42.130001,41.470001,41.669998,41.669998,7658100
2018-03-22,41.240002,41.549999,40.560001,40.580002,40.580002,10974100
2018-03-23,40.570000,40.939999,39.700001,39.709999,39.709999,9244800
2018-03-26,40.299999,41.060001,39.590000,41.009998,41.009998,9796900
2018-03-27,41.150002,41.169998,39.980000,40.220001,40.220001,11795600
2018-03-28,40.130001,40.820000,39.639999,40.110001,40.110001,14336500
2018-03-29,40.439999,40.830002,39.990002,40.240002,40.240002,13438300
2018-04-02,40.040001,40.340000,38.900002,39.360001,39.360001,7721400
2018-04-03,39.470001,39.900002,39.220001,39.610001,39.610001,9671700
2018-04-04,39.099998,39.910000,39.000000,39.790001,39.790001,10205800
2018-04-05,40.110001,40.310001,39.610001,40.029999,40.029999,6190800
2018-04-06,39.660000,39.939999,39.000000,39.090000,39.090000,6019700
2018-04-09,39.209999,39.549999,38.820000,38.880001,38.880001,7607500
2018-04-10,39.299999,39.820000,39.139999,39.590000,39.590000,7480300
2018-04-11,40.410000,41.090000,39.509998,39.830002,39.830002,17644400
2018-04-12,40.270000,40.889999,39.950001,40.529999,40.529999,14002500
2018-04-13,41.060001,41.090000,39.799999,39.900002,39.900002,7340900
2018-04-16,40.220001,40.660000,39.810001,40.189999,40.189999,6629200
2018-04-17,40.389999,40.799999,40.130001,40.610001,40.610001,9474500
2018-04-18,42.849998,42.900002,41.150002,41.750000,41.750000,19386300
